period,ratio
2017-06-01,14.59762
2017-06-02,18.17425
2017-06-03,39.53004
2017-06-04,40.13308
2017-06-05,74.2358
2017-06-06,100.0
2017-06-07,42.15013
2017-06-08,33.45809
2017-06-09,39.88355
2017-06-10,55.66645
2017-06-11,49.46974
2017-06-12,22.3955
2017-06-13,11.22894
2017-06-14,10.48034
2017-06-15,11.68642
2017-06-16,14.76398
2017-06-17,25.36909
2017-06-18,21.85485
2017-06-19,9.58619
2017-06-20,8.40091
2017-06-21,7.90185
2017-06-22,7.90185
2017-06-23,9.83572
2017-06-24,19.0892
2017-06-25,17.09295
2017-06-26,7.13245
2017-06-27,5.4897
2017-06-28,4.94905
2017-06-29,4.90746
2017-06-30,5.32335
2017-07-01,8.58806
