period,ratio,1,2
2016-12-08,62.912169999999996,76.0,95.19999999999999
2016-12-09,27.9791,83.33333333333334,92.38095238095235
2016-12-10,28.99118,75.0,96.25
2016-12-11,23.01665,74.13793103448276,95.51724137931033
2016-12-12,80.5746,81.57894736842105,95.0
2016-12-13,83.61083,70.45454545454545,87.72727272727273
2016-12-14,76.82011,83.33333333333334,88.0
2016-12-15,66.43813,63.33333333333333,94.0
2016-12-16,100.0,72.22222222222221,95.55555555555557
2016-12-17,82.10904000000001,78.33333333333333,92.0
2016-12-18,88.76918,79.03225806451613,90.96774193548387
2016-12-19,33.07215,81.48148148148148,96.66666666666666
2016-12-20,22.2984,90.90909090909092,96.36363636363637
2016-12-21,17.10741,72.5,94.0
2016-12-22,17.43388,86.66666666666667,98.0
2016-12-23,16.65034,83.33333333333334,92.38095238095235
2016-12-24,13.777339999999999,89.65517241379308,94.82758620689657
2016-12-25,12.406130000000001,82.35294117647058,94.70588235294116
2016-12-26,17.9236,88.63636363636364,92.27272727272727
2016-12-27,18.935679999999998,80.55555555555556,91.66666666666666
2016-12-28,17.04211,70.0,92.5
2016-12-29,16.12797,82.14285714285714,96.42857142857142
2016-12-30,14.9853,87.5,94.5
2016-12-31,13.842629999999998,77.08333333333334,92.5
2017-01-01,11.78583,88.63636363636364,93.63636363636363
2017-01-02,16.55239,75.0,95.625
2017-01-03,19.45804,82.0,91.6
2017-01-04,16.715629999999997,83.33333333333334,94.07407407407408
2017-01-05,14.23441,78.125,91.875
2017-01-06,14.920010000000001,82.35294117647058,94.70588235294116
2017-01-07,13.18968,76.19047619047619,89.52380952380952
2017-01-08,12.9285,84.61538461538461,88.46153846153848
