period,ratio,1,2
2017-05-11,32.0478,86.66666666666667,87.33333333333333
2017-05-12,30.14665,85.71428571428571,84.28571428571429
2017-05-13,33.2609,83.33333333333334,90.0
2017-05-14,31.97537,100.0,90.0
2017-05-15,28.770590000000002,100.0,95.0
2017-05-16,30.454459999999997,,
2017-05-17,59.84066,100.0,100.0
2017-05-18,100.0,50.0,55.0
2017-05-19,93.95255999999999,83.33333333333334,70.0
2017-05-20,76.96903,75.0,85.0
2017-05-21,65.77946,50.0,90.0
2017-05-22,78.67101,25.0,60.0
2017-05-23,46.351620000000004,100.0,90.0
2017-05-24,37.93228,0.0,60.0
2017-05-25,37.515840000000004,,
2017-05-26,41.62592,75.0,60.0
2017-05-27,38.403040000000004,,
2017-05-28,42.63986,100.0,70.0
2017-05-29,39.67046,,
2017-05-30,42.65797,,
2017-05-31,27.82907,,
2017-06-01,28.89733,,
2017-06-02,25.69255,100.0,100.0
2017-06-03,28.06445,,
2017-06-04,32.44613,,
2017-06-05,40.141220000000004,,
2017-06-06,57.07043,,
2017-06-07,37.78743,100.0,100.0
2017-06-08,31.37787,,
2017-06-09,29.53105,,
2017-06-10,33.47818,,
2017-06-11,41.06463,,
