period,ratio,1,2
2017-10-12,99.38398000000001,73.07692307692307,91.53846153846152
2017-10-13,100.0,50.0,70.0
2017-10-14,93.93109,75.0,76.66666666666669
2017-10-15,77.43554,81.25,75.0
2017-10-16,57.266709999999996,66.66666666666666,75.0
2017-10-17,45.813359999999996,75.0,100.0
2017-10-18,40.95368,0.0,100.0
2017-10-19,39.42505,87.5,82.5
2017-10-20,41.91193,100.0,85.0
2017-10-21,31.48528,75.0,90.0
2017-10-22,24.96007,100.0,90.0
2017-10-23,18.59456,100.0,93.33333333333334
2017-10-24,18.389229999999998,100.0,100.0
2017-10-25,13.3242,100.0,85.0
2017-10-26,11.52178,,
2017-10-27,12.50285,,
2017-10-28,11.81838,,
2017-10-29,12.114980000000001,100.0,50.0
2017-10-30,10.038780000000001,100.0,50.0
2017-10-31,10.038780000000001,,
2017-11-01,6.9587,75.0,80.0
2017-11-02,7.688789999999999,100.0,80.0
2017-11-03,6.57084,100.0,90.0
2017-11-04,8.12229,,
2017-11-05,7.4150100000000005,,
2017-11-06,5.56696,100.0,90.0
2017-11-07,5.22473,,
2017-11-08,4.67716,100.0,100.0
2017-11-09,5.8179300000000005,,
2017-11-10,8.601410000000001,100.0,80.0
2017-11-11,7.87132,,
2017-11-12,7.2781199999999995,,
