period,ratio,1,2
2017-04-13,87.66176999999999,73.68421052631578,85.78947368421053
2017-04-14,100.0,61.76470588235294,84.70588235294116
2017-04-15,93.78774,64.28571428571429,62.85714285714286
2017-04-16,82.9163,78.57142857142857,85.0
2017-04-17,71.91544,80.0,90.0
2017-04-18,69.68651,75.0,83.0
2017-04-19,57.36266,83.33333333333334,70.0
2017-04-20,42.76675,100.0,90.0
2017-04-21,32.67184,70.0,82.0
2017-04-22,30.24158,83.33333333333334,88.33333333333334
2017-04-23,41.9327,80.0,79.0
2017-04-24,25.812479999999997,60.0,78.0
2017-04-25,22.86453,100.0,90.0
2017-04-26,26.70405,91.66666666666666,85.0
2017-04-27,22.90767,66.66666666666666,66.66666666666669
2017-04-28,26.0857,100.0,100.0
2017-04-29,43.41386,100.0,100.0
2017-04-30,63.7331,,
2017-05-01,51.5962,50.0,90.0
2017-05-02,43.3851,100.0,85.0
2017-05-03,45.18262,90.0,90.0
2017-05-04,27.73943,75.0,60.0
2017-05-05,25.424210000000002,0.0,10.0
2017-05-06,31.392,,
2017-05-07,24.892139999999998,,
2017-05-08,19.22634,,
2017-05-09,20.348,,
2017-05-10,15.53062,,
2017-05-11,19.327,,
2017-05-12,16.465339999999998,25.0,80.0
2017-05-13,23.353460000000002,,
