period,ratio,1,2
2017-02-16,68.13354,84.84848484848484,90.0
2017-02-17,67.12505999999999,91.93548387096774,95.3225806451613
2017-02-18,76.17083000000001,72.85714285714285,79.71428571428572
2017-02-19,65.54358,81.63265306122449,86.12244897959184
2017-02-20,61.23461999999999,88.46153846153845,92.30769230769229
2017-02-21,62.945980000000006,76.66666666666667,69.33333333333334
2017-02-22,100.0,88.0,90.0
2017-02-23,50.07258,87.5,75.83333333333331
2017-02-24,46.91725,60.0,60.0
2017-02-25,46.26021,83.33333333333334,71.11111111111111
2017-02-26,47.42913,80.76923076923077,75.38461538461537
2017-02-27,32.47765,84.375,71.875
2017-02-28,25.27313,57.14285714285714,57.14285714285714
2017-03-01,15.639079999999998,70.0,72.0
2017-03-02,6.05852,80.0,86.0
2017-03-03,7.08228,100.0,92.5
2017-03-04,10.67308,50.0,65.0
2017-03-05,8.62556,64.28571428571429,67.14285714285714
2017-03-06,2.9796,50.0,90.0
2017-03-07,2.93376,,
2017-03-08,2.58232,,
2017-03-09,2.46772,,
2017-03-10,3.3768800000000003,50.0,55.0
2017-03-11,5.37856,75.0,77.5
2017-03-12,4.69096,100.0,85.0
2017-03-13,1.8259599999999998,,
2017-03-14,1.8794400000000002,50.0,60.0
2017-03-15,1.9023599999999998,,
2017-03-16,1.7113599999999998,100.0,70.0
