period,ratio,1,2
2016-12-07,100.0,79.56008583690986,87.14592274678111
2016-12-08,73.33118,76.73872180451127,86.03383458646617
2016-12-09,72.01642,76.36363636363637,84.55944055944053
2016-12-10,99.44501,77.93167128347184,86.00184672206834
2016-12-11,95.53419,78.25082508250824,85.41914191419141
2016-12-12,69.19719,75.42857142857143,85.24571428571429
2016-12-13,55.28253,78.9237668161435,84.94768310911809
2016-12-14,50.00311,76.44710578842316,85.46906187624751
2016-12-15,45.18318,72.2863741339492,81.89376443418014
2016-12-16,51.939820000000005,76.70940170940172,83.63247863247864
2016-12-17,65.84201,79.42238267148014,87.18411552346569
2016-12-18,71.53659,79.82625482625483,85.95559845559846
2016-12-19,46.539629999999995,75.96899224806202,84.03100775193799
2016-12-20,37.34349,75.53444180522565,81.85273159144893
2016-12-21,31.17104,74.60567823343848,83.84858044164037
2016-12-22,26.67865,72.14285714285714,79.23809523809523
2016-12-23,30.23863,79.96108949416343,87.62645914396887
2016-12-24,41.461729999999996,83.88888888888889,87.9111111111111
2016-12-25,36.47605,80.10849909584087,86.45569620253164
2016-12-26,23.96379,78.96551724137932,86.89655172413794
2016-12-27,19.88887,80.04807692307693,85.19230769230771
2016-12-28,19.51866,78.60360360360359,85.3153153153153
2016-12-29,18.005329999999997,80.44554455445545,84.00990099009901
2016-12-30,19.03095,81.17647058823529,86.9411764705882
2016-12-31,19.817320000000002,84.58498023715416,88.93280632411066
2017-01-01,19.13401,81.83279742765274,87.13826366559486
2017-01-02,13.647829999999999,80.11049723756905,85.6353591160221
2017-01-03,10.94774,80.06535947712419,84.640522875817
2017-01-04,9.0921,79.27927927927928,82.70270270270271
2017-01-05,8.31033,78.57142857142857,85.27472527472527
2017-01-06,9.25423,74.71264367816092,84.25287356321839
2017-01-07,10.53913,86.16071428571429,86.78571428571429
