period,ratio,1,2
2017-07-20,100.0,62.22842954686529,82.86778398510243
2017-07-21,51.09876,63.29437545653762,82.05259313367421
2017-07-22,53.96031,62.052810902896084,80.61328790459966
2017-07-23,44.74188,62.89945440374123,79.85190958690568
2017-07-24,32.36942,62.370600414078666,78.6128364389234
2017-07-25,23.705,63.0,79.27142857142857
2017-07-26,33.60876,63.72651356993737,84.03966597077245
2017-07-27,25.33886,70.48040455120102,87.5094816687737
2017-07-28,23.10984,68.3933933933934,84.72972972972974
2017-07-29,24.10684,70.76923076923077,85.37062937062936
2017-07-30,22.191370000000003,68.39622641509435,87.3989218328841
2017-07-31,18.77935,70.90620031796503,85.72337042925278
2017-08-01,13.29215,69.47261663286004,86.30831643002028
2017-08-02,11.4724,70.94017094017094,87.97008547008546
2017-08-03,11.20632,72.02380952380952,86.01190476190476
2017-08-04,8.868160000000001,70.48872180451127,85.93984962406013
2017-08-05,8.089,71.48760330578511,86.15702479338843
2017-08-06,7.9274,72.03389830508475,87.07627118644068
2017-08-07,6.242290000000001,67.72486772486772,87.03703703703704
2017-08-08,5.48309,64.91228070175438,86.31578947368422
2017-08-09,4.3440199999999995,76.14379084967321,87.38562091503267
2017-08-10,4.8297,71.79487179487181,86.98717948717949
2017-08-11,3.66889,72.98387096774194,84.43548387096774
2017-08-12,4.47467,68.07692307692308,88.84615384615385
2017-08-13,5.4610199999999995,69.76744186046511,88.44961240310077
2017-08-14,4.37585,69.73684210526315,86.66666666666666
2017-08-15,3.7574,70.0,85.33333333333333
2017-08-16,2.23046,73.77049180327869,87.54098360655738
2017-08-17,2.10413,70.39473684210526,83.55263157894737
2017-08-18,1.6324100000000001,74.56140350877193,85.6140350877193
2017-08-19,1.85768,75.73529411764706,86.02941176470588
2017-08-20,2.15004,74.65753424657534,86.84931506849315
