period,ratio,1,2
2017-06-08,100.0,69.70705725699068,81.18508655126497
2017-06-09,16.92332,59.02111324376199,75.98848368522071
2017-06-10,21.85023,60.66666666666667,74.87619047619049
2017-06-11,35.69947,59.85815602836879,72.92198581560282
2017-06-12,13.2564,55.78817733990148,68.4729064039409
2017-06-13,7.9381699999999995,55.45112781954887,68.12030075187968
2017-06-14,6.740889999999999,62.54826254826254,72.77992277992277
2017-06-15,6.89195,61.36363636363637,70.0909090909091
2017-06-16,7.24178,57.738095238095234,71.72619047619048
2017-06-17,9.27512,57.45192307692307,68.07692307692308
2017-06-18,7.10761,54.22885572139303,68.85572139303483
2017-06-19,4.762230000000001,57.692307692307686,67.69230769230768
2017-06-20,3.58236,63.576158940397356,69.53642384105962
2017-06-21,3.1842799999999998,61.86440677966102,69.15254237288137
2017-06-22,2.76552,54.761904761904766,70.0
2017-06-23,2.96313,56.52173913043478,64.45652173913044
2017-06-24,4.4657,59.91379310344828,68.10344827586208
2017-06-25,4.2897300000000005,60.0,68.88
2017-06-26,2.68518,61.73469387755102,70.61224489795919
2017-06-27,2.36068,56.395348837209305,67.67441860465117
2017-06-28,2.0754599999999996,61.63793103448276,73.36206896551724
2017-06-29,1.9715799999999999,62.22222222222222,75.55555555555554
2017-06-30,1.67685,64.03508771929825,75.08771929824562
2017-07-01,1.6892,63.934426229508205,75.40983606557377
2017-07-02,1.55229,67.74193548387096,75.64516129032258
2017-07-03,1.1039700000000001,70.0,81.5
2017-07-04,0.9890100000000001,60.71428571428571,80.35714285714286
2017-07-05,67.69561,42.78846153846153,60.480769230769226
2017-07-06,23.100189999999998,43.77358490566038,55.73584905660376
2017-07-07,6.336790000000001,50.50761421319797,61.11675126903553
2017-07-08,9.02768,56.86274509803921,64.70588235294117
