period,ratio,1,2
2017-04-13,49.546240000000004,85.0,93.0
2017-04-14,62.83491,50.0,90.0
2017-04-15,100.0,92.04545454545455,86.59090909090908
2017-04-16,79.47277,91.0,88.4
2017-04-17,60.198780000000006,88.46153846153845,93.07692307692307
2017-04-18,53.50043,85.0,82.0
2017-04-19,51.01555,75.0,75.0
2017-04-20,55.509930000000004,66.66666666666666,73.33333333333331
2017-04-21,63.80726,100.0,83.33333333333334
2017-04-22,92.28608,83.33333333333334,86.25
2017-04-23,77.0095,89.53488372093024,83.0232558139535
2017-04-24,54.25669,92.85714285714286,83.57142857142858
2017-04-25,50.62662,80.0,90.0
2017-04-26,66.22731,77.77777777777779,98.88888888888891
2017-04-27,47.7528,93.75,85.0
2017-04-28,55.466719999999995,90.0,90.0
2017-04-29,75.56179,87.5,87.08333333333334
2017-04-30,81.33102,93.18181818181817,93.18181818181819
2017-05-01,60.566109999999995,93.33333333333333,87.33333333333333
2017-05-02,69.0579,75.0,75.0
2017-05-03,40.751940000000005,73.91304347826086,85.65217391304347
2017-05-04,26.33967,95.45454545454545,93.63636363636363
2017-05-05,25.82108,95.45454545454545,90.90909090909092
2017-05-06,21.8885,88.88888888888889,92.22222222222221
2017-05-07,18.777,71.42857142857143,85.71428571428571
2017-05-08,12.74848,75.0,80.0
2017-05-09,19.07951,58.333333333333336,75.0
2017-05-10,6.67675,91.66666666666666,81.66666666666666
2017-05-11,7.19533,100.0,90.0
2017-05-12,8.57821,100.0,100.0
2017-05-13,11.624889999999999,,
