period,ratio,1,2
2017-09-07,27.93685,,
2017-09-08,56.277530000000006,70.0,92.0
2017-09-09,100.0,33.33333333333333,40.0
2017-09-10,76.90895,75.0,95.0
2017-09-11,22.72393,50.0,55.0
2017-09-12,18.97944,100.0,96.66666666666666
2017-09-13,14.42731,83.33333333333334,86.66666666666666
2017-09-14,15.34508,0.0,60.0
2017-09-15,29.001459999999998,100.0,20.0
2017-09-16,58.18649,100.0,30.0
2017-09-17,48.09104,,
2017-09-18,11.123339999999999,100.0,100.0
2017-09-19,9.9486,,
2017-09-20,8.40675,100.0,80.0
2017-09-21,9.177669999999999,,
2017-09-22,21.69603,100.0,80.0
2017-09-23,48.494859999999996,,
2017-09-24,45.48458,85.71428571428571,82.85714285714286
2017-09-25,7.488980000000001,50.0,80.0
2017-09-26,7.232010000000001,,
2017-09-27,2.86343,,
2017-09-28,3.0102700000000002,66.66666666666666,90.0
2017-09-29,4.25844,83.33333333333334,96.66666666666666
2017-09-30,5.72687,75.0,82.5
2017-10-01,6.68135,91.66666666666666,91.66666666666666
2017-10-02,4.1483099999999995,66.66666666666666,80.0
2017-10-03,3.1938299999999997,,
2017-10-04,2.49632,,
2017-10-05,3.04698,100.0,90.0
2017-10-06,3.48751,100.0,70.0
2017-10-07,3.5609300000000004,0.0,70.0
