period,ratio,1,2
2017-03-01,100.0,86.52482269503547,93.0496453900709
2017-03-02,16.32326,78.57142857142857,85.71428571428571
2017-03-03,13.2773,83.33333333333334,87.43589743589743
2017-03-04,15.649970000000001,89.58333333333334,92.29166666666666
2017-03-05,12.75119,74.39024390243902,88.04878048780488
2017-03-06,7.336689999999999,85.48387096774194,89.03225806451613
2017-03-07,6.50592,67.64705882352942,80.58823529411765
2017-03-08,8.94185,71.05263157894737,84.73684210526315
2017-03-09,5.55616,91.66666666666666,93.33333333333334
2017-03-10,5.2047300000000005,93.75,92.5
2017-03-11,9.08765,75.0,94.44444444444443
2017-03-12,5.85189,84.61538461538461,83.07692307692307
2017-03-13,4.19583,81.25,82.5
2017-03-14,11.99262,68.18181818181817,70.9090909090909
2017-03-15,2.65876,75.0,96.66666666666666
2017-03-16,2.11064,100.0,95.0
2017-03-17,2.2928900000000003,100.0,70.0
2017-03-18,2.5659099999999997,66.66666666666666,100.0
2017-03-19,2.15053,100.0,93.33333333333334
2017-03-20,1.4297799999999998,100.0,96.66666666666666
2017-03-21,8.989310000000001,83.33333333333334,70.0
2017-03-22,7.5492,87.5,90.0
2017-03-23,4.80103,50.0,56.66666666666668
2017-03-24,4.34094,83.33333333333334,88.33333333333334
2017-03-25,4.7976,83.33333333333334,86.66666666666666
2017-03-26,4.27698,71.42857142857143,87.14285714285714
2017-03-27,2.9015299999999997,100.0,98.0
2017-03-28,2.3437799999999998,83.33333333333334,100.0
2017-03-29,2.21311,80.0,96.0
2017-03-30,1.8995,80.0,100.0
2017-03-31,2.0233,100.0,100.0
2017-04-01,2.22549,100.0,100.0
