period,ratio,1,2
2017-09-14,60.40599,59.29368029739776,77.80669144981411
2017-09-15,69.28981,72.23719676549865,89.21832884097037
2017-09-16,100.0,70.75055187637969,86.5121412803532
2017-09-17,81.29334,67.21763085399449,81.37741046831955
2017-09-18,57.3653,69.06474820143885,83.77697841726618
2017-09-19,42.022059999999996,59.6551724137931,76.82758620689656
2017-09-20,45.12231,72.76422764227642,80.89430894308941
2017-09-21,34.93116,65.19607843137256,80.0
2017-09-22,30.687079999999998,70.09345794392523,81.58878504672899
2017-09-23,40.19509,60.59322033898306,78.47457627118644
2017-09-24,41.0715,72.3076923076923,82.0
2017-09-25,24.73698,66.14583333333334,83.4375
2017-09-26,25.84921,62.94117647058823,77.6470588235294
2017-09-27,34.75369,65.71428571428571,77.80952380952381
2017-09-28,26.551790000000004,66.66666666666666,78.78787878787878
2017-09-29,29.00902,73.07692307692307,77.30769230769232
2017-09-30,29.89576,68.29268292682927,78.41463414634147
2017-10-01,34.61391,66.25,78.75
2017-10-02,28.136259999999996,66.46341463414635,76.46341463414633
2017-10-03,25.268179999999997,60.66666666666667,75.46666666666668
2017-10-04,20.36101,62.93103448275862,78.96551724137933
2017-10-05,16.52232,69.53125,76.25
2017-10-06,15.065479999999999,60.0,73.60000000000001
2017-10-07,17.1313,61.702127659574465,72.3404255319149
2017-10-08,13.50715,63.63636363636363,73.63636363636363
2017-10-09,10.70228,72.41379310344827,75.86206896551724
2017-10-10,6.19928,54.0,82.8
2017-10-11,5.55201,71.42857142857143,85.0
2017-10-12,5.756819999999999,68.0,80.39999999999999
2017-10-13,5.8425199999999995,73.07692307692307,85.38461538461536
2017-10-14,7.936910000000001,65.9090909090909,68.63636363636363
