20180627,너무 기대댄다. 개봉일 극장 접수!  
20180626,(후속작 개봉이)늦었어! 15년 늦었어!!!  
20180626,와~우~~ 지대로 만들었구나? ㅋㅋㅋ  
20180622,애니매이션 중에 탑오브탑!  
20180621,어릴때 1편 계속 돌려봤는데ㅋㅋ  
20180619,번역 박지훈이라 마음걸리는데 영화는 재밌겠다  
20180618,와... 인크레더블이 드디어 나오다니!! 지금봐도 잼있고 세련된 애니에요 넘 기대됩니다! 결혼전에 봤는데 지금은 제 아이가 봅니다 ㅋㅋ  
20180618,14년을 기다렸다! 기다림이 아깝지 않다 동심으로 돌아가자!!  
20180617,순수했고 지금도 순수하게 볼수있는 영화.  
20180617,미국 사는 동포입니다. 개봉한 날 첫 영화 보고옴. 첫 10분 동안 옛날에 대한 향수+돌아왔다는 감격 때문에 울었습니다ㅋㅋㅋ맨 처음 나오는 short film도 너무 재밌고 최고입니다. 절대 후회 안 하실 거고 상상 그 이상임. 꼭 달려가서 보세요!!  
20180613,빨리 좀 나와라!!!!  
20180611,와.. 이거 전작이 벌써 14년전 이라니! 내가 초딩때 처음 봤었구나 ㅠㅠ 너무 재밌어서 중학교때도 보고 나이먹어서도 또보고 해서 맘속에 오래 간직돼서 전작이 이렇게 오래됐는지 몰랐네요 많이 기다렸어요! 개봉첫날 달려가서 동심으로 돌아가 시청할게요~  
20180611,어릴적 인크레더블1을 기억하는 성인들이 많을 것이다.더빙판이 독점않길 바란다.  
20180609,6월에 개봉해주지 앤트맨 7월에 하면서  
20180607,ㅋㅋㅋㅋ 1편 진짜 재밌게 봤는데... 다 기억난다. 언더 마이너. 일라스티 걸.  
20180606,1편을 우리 아이들 초딩때 같이 극장 가서 봤던 기억이 나네요 이제 다들 커서 아빠랑 같이 영화관도 안가려 하지만 이번 만큼은  꼭 온가족이 가서 볼겁니다  정말 감사합니다  
20180606,와 이게 몇년만이야~!!!! 최소 열번은 본 건데!!! 대박!  
20180605,최애 애니메이션중에 하나...  빨리나와랏  
20180526,미국은 6월15일 개봉인데??? 왜 7월에 개봉하나? 이런 대작을.  
20180523,더빙도 개봉해주세요.  
20180514,극장에 어른들 많이 오겠네 ㅋㅋ  
20180514,브래드버드 작품이라면 무조건 예매한다  
20180513,와 보고싶은 영화중 하나  
20180512,너무 오래 기다렸다  드디어 나오네 인크레더블2 마지막에 땅에서 나온 그 악당이 메인 빌런인가?  
20180509,갓즈니ㅠㅠ 도리를 찾아서부터 인크레더블까지 ㅠㅠ  
20180429,15년만에  나오는  속편이라니!  
20180428,나의 추억을 되살려주길  
20180425,레전드 오브 애니 ㅇㄱㄹㅇ ㅂㅂㅂㄱ  
20180423,디즈니 영화 그럼 난 무조건 본다. 1편도 엄청 재미있든데  
20180411,올해 최고의 픽사 영화 고고씽?  
20180409,1편 마지막에 나왔던 언더마이너 나오는 거야?  
