집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수
2017-05-31,100.0,61.18314424635333,81.09400324149108,20168261,원더 우먼,1314211200,206944,941,4179
2017-06-01,23.50048,59.85432733504713,79.78577549271638,20168261,원더 우먼,918976500,116912,913,4164
2017-06-02,16.738429999999994,65.29968454258676,82.48159831756048,20168261,원더 우먼,1338334495,154172,958,4352
2017-06-03,23.93715,63.073639274279614,78.81536819637141,20168261,원더 우먼,3095098603,356552,1030,4723
2017-06-04,21.19732,66.28383921246926,80.77112387202625,20168261,원더 우먼,2760802900,320498,1034,4649
2017-06-05,17.145570000000006,63.16472114137483,77.36705577172503,20168261,원더 우먼,1408071500,182781,996,4623
2017-06-06,17.04113,62.20570012391574,79.14498141263941,20168261,원더 우먼,1655383600,203859,750,2958
2017-06-07,8.53585,60.85271317829457,75.63307493540051,20168261,원더 우먼,314878400,42680,731,2907
2017-06-08,4.716,63.48684210526315,76.74342105263156,20168261,원더 우먼,234560300,31667,598,2249
2017-06-09,5.51307,56.66666666666666,73.25490196078431,20168261,원더 우먼,371818514,45025,607,2267
2017-06-10,7.89975,61.674008810572694,76.12334801762114,20168261,원더 우먼,858554735,103585,611,2062
2017-06-11,7.0766300000000015,61.397058823529406,75.625,20168261,원더 우먼,758943500,91939,604,2001
2017-06-12,4.449330000000002,57.92349726775957,75.90163934426229,20168261,원더 우먼,192160600,25772,548,2002
2017-06-13,3.28031,69.68503937007874,79.84251968503938,20168261,원더 우먼,171278900,23181,557,1982
2017-06-14,3.1541200000000003,65.06410256410257,79.80769230769229,20168261,원더 우먼,182563200,24765,550,1982
2017-06-15,2.5649900000000003,62.01550387596899,73.25581395348838,20168261,원더 우먼,132034000,17754,468,1327
2017-06-16,2.60891,65.84158415841584,77.92079207920794,20168261,원더 우먼,200465575,24054,486,1384
2017-06-17,4.04291,63.306451612903224,75.08064516129029,20168261,원더 우먼,466826464,56027,510,1397
2017-06-18,4.20094,64.48598130841121,77.66355140186916,20168261,원더 우먼,403256900,48556,499,1365
2017-06-19,2.26848,59.81308411214953,74.29906542056075,20168261,원더 우먼,108044100,14521,440,1300
2017-06-20,1.8033299999999999,61.44578313253012,74.57831325301207,20168261,원더 우먼,107644500,14509,441,1275
2017-06-21,1.60979,69.35483870967742,77.52688172043011,20168261,원더 우먼,38405900,5170,209,376
2017-06-22,1.40858,58.69565217391305,75.07246376811594,20168261,원더 우먼,27900500,3803,151,232
2017-06-23,1.43232,59.15492957746478,80.4225352112676,20168261,원더 우먼,39214100,4629,150,224
2017-06-24,1.96577,67.3913043478261,78.69565217391305,20168261,원더 우먼,82058200,9665,165,241
2017-06-25,1.7294599999999998,67.85714285714286,79.52380952380952,20168261,원더 우먼,78253000,9238,168,240
2017-06-26,1.13476,69.16666666666667,69.83333333333333,20168261,원더 우먼,31283200,4136,169,269
2017-06-27,1.0714,70.0,80.83333333333334,20168261,원더 우먼,31130600,4205,172,285
2017-06-28,1.15798,64.65517241379311,80.51724137931033,20168261,원더 우먼,7057000,1106,35,49
2017-06-29,1.16901,75.53191489361703,82.97872340425529,20168261,원더 우먼,7286500,957,29,48
2017-06-30,1.14401,55.55555555555557,78.33333333333331,20168261,원더 우먼,9967500,1174,33,51
