집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수
2017-12-27,100.0,82.01530612244899,91.79591836734691,20170590,1987,1973650400,331736,1299,6074
2017-12-28,30.61379,83.04150453955901,92.78858625162128,20170590,1987,1655660700,221304,1233,5645
2017-12-29,25.28996,81.59636062861871,91.88585607940443,20170590,1987,2560147830,306562,1170,5519
2017-12-30,30.3104,83.58673116793365,93.4139599170698,20170590,1987,4075364307,487098,1079,5122
2017-12-31,29.550990000000002,84.3642611683849,93.87628865979383,20170590,1987,4685083300,560046,1082,5089
2018-01-01,29.7776,84.6282652377763,93.95847287340924,20170590,1987,4460462100,531469,1097,4982
2018-01-02,33.93408,84.46054750402577,93.81642512077299,20170590,1987,1643436600,217247,1063,5044
2018-01-03,18.40514,83.50840336134453,91.77521008403365,20170590,1987,1329337000,174979,964,4231
2018-01-04,15.90518,85.19230769230771,92.11538461538464,20170590,1987,1240939300,163429,986,4260
2018-01-05,15.038210000000001,85.15850144092218,94.02017291066284,20170590,1987,1708090697,202189,1012,4456
2018-01-06,24.36563,84.76595744680851,94.19574468085104,20170590,1987,3672225298,436755,1094,4812
2018-01-07,25.92363,83.98617511520737,93.54838709677419,20170590,1987,3539227900,421153,1067,4738
2018-01-08,29.71746,84.36192468619247,92.97071129707113,20170590,1987,1368413800,179970,1012,4545
2018-01-09,15.362789999999999,86.44578313253011,92.5301204819277,20170590,1987,1333191300,175793,1052,4598
2018-01-10,12.213,86.38698630136986,94.28082191780823,20170590,1987,1264934200,166737,1080,4666
2018-01-11,10.73668,83.16412859560067,91.97969543147207,20170590,1987,1097894600,143893,957,3840
2018-01-12,12.925880000000001,83.08943089430895,92.30894308943087,20170590,1987,1589822454,186217,995,4045
2018-01-13,19.20405,85.06044905008635,91.96891191709845,20170590,1987,3681128059,434056,1103,4584
2018-01-14,18.21657,87.63029881862404,93.39819318971509,20170590,1987,3462113600,410882,1122,4516
2018-01-15,10.52936,84.89583333333334,92.1875,20170590,1987,978569700,128995,1015,4222
2018-01-16,8.69566,87.34290843806104,93.10592459605029,20170590,1987,877919500,116339,1042,4239
2018-01-17,7.689539999999999,88.61386138613861,93.74257425742573,20170590,1987,688826800,90628,755,2901
2018-01-18,6.3060599999999996,87.76881720430107,92.8494623655914,20170590,1987,607829400,80288,745,2833
2018-01-19,6.15375,84.02489626556017,91.7427385892116,20170590,1987,778155200,91393,745,2842
2018-01-20,12.44977,83.64389233954452,93.00207039337471,20170590,1987,1684063000,198195,714,2744
2018-01-21,8.14166,87.07964601769913,94.08849557522123,20170590,1987,1478354200,175482,708,2642
2018-01-22,5.61437,84.76027397260275,94.65753424657534,20170590,1987,395319700,52331,689,2599
2018-01-23,4.04455,84.80662983425414,92.8729281767956,20170590,1987,371003000,49510,688,2540
2018-01-24,3.29451,86.25,92.6875,20170590,1987,272188300,35857,547,1816
2018-01-25,3.07838,85.4014598540146,92.62773722627735,20170590,1987,249946400,33264,562,1706
2018-01-26,3.10036,84.82758620689657,92.82758620689656,20170590,1987,313169100,36987,578,1733
2018-01-27,11.116610000000001,84.59302325581395,94.36046511627909,20170590,1987,656925300,77436,604,1666
