집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수
2017-11-09,100.0,95.21531100478468,96.55502392344499,20175441,채비,90017700,13267,452,1149
2017-11-10,31.62844,92.30769230769232,94.4055944055944,20175441,채비,97239786,12780,462,1143
2017-11-11,35.30973,82.46753246753245,90.90909090909092,20175441,채비,177285878,22888,469,1072
2017-11-12,38.495020000000004,93.67816091954023,90.0,20175441,채비,164313600,20766,462,1027
2017-11-13,36.6521,87.83783783783785,89.86486486486488,20175441,채비,79222100,11278,459,1069
2017-11-14,29.81434,86.73469387755102,89.3877551020408,20175441,채비,86666100,12829,480,1083
2017-11-15,28.427979999999998,80.64516129032258,84.83870967741936,20175441,채비,49052300,7461,293,442
2017-11-16,32.06073,90.90909090909092,91.36363636363636,20175441,채비,35936600,5862,165,214
2017-11-17,29.870459999999998,82.6086956521739,83.04347826086956,20175441,채비,32661000,4533,151,203
2017-11-18,29.78248,76.92307692307693,85.38461538461536,20175441,채비,50492800,6519,152,220
2017-11-19,24.20974,90.0,91.5,20175441,채비,55632900,7134,158,235
2017-11-20,20.161379999999998,80.0,84.5,20175441,채비,25284800,3752,169,267
2017-11-21,15.2712,88.46153846153845,86.92307692307693,20175441,채비,29159500,4490,187,293
2017-11-22,14.198820000000001,75.0,90.0,20175441,채비,25292000,3890,120,206
2017-11-23,11.72187,72.72727272727273,82.72727272727273,20175441,채비,25046500,4039,103,160
2017-11-24,11.03476,65.0,74.0,20175441,채비,22989900,3717,108,164
2017-11-25,12.496960000000001,88.46153846153845,89.2307692307692,20175441,채비,25390200,3201,94,160
2017-11-26,10.45989,78.57142857142857,75.0,20175441,채비,24333500,3232,95,161
2017-11-27,7.9859800000000005,66.66666666666666,77.77777777777777,20175441,채비,10401000,1618,95,160
2017-11-28,6.46462,60.0,80.0,20175441,채비,13903000,2204,100,167
2017-11-29,5.98076,77.7777777777778,77.77777777777777,20175441,채비,10630000,2035,49,63
2017-11-30,8.60484,86.36363636363636,87.27272727272727,20175441,채비,4655500,851,40,47
2017-12-01,42.98932,76.0,85.60000000000002,20175441,채비,8063500,1098,30,33
2017-12-02,40.15289,70.83333333333334,80.55555555555556,20175441,채비,4602100,674,20,23
2017-12-03,29.99635,76.47058823529412,75.88235294117648,20175441,채비,1054100,141,17,20
2017-12-04,23.862389999999998,65.38461538461539,84.61538461538464,20175441,채비,4835000,758,16,17
2017-12-05,17.35833,84.375,90.0,20175441,채비,10813000,1733,31,33
2017-12-06,14.32775,77.27272727272727,98.1818181818182,20175441,채비,8225500,1330,26,29
2017-12-07,13.33879,80.76923076923076,90.0,20175441,채비,9294500,1799,20,20
2017-12-08,12.964139999999999,87.5,91.25,20175441,채비,1985000,366,8,8
