집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수
2017-03-01,100.0,86.52482269503548,93.04964539007092,20158799,눈길,291392500,37284,495,1278
2017-03-02,16.32326,78.57142857142857,85.71428571428571,20158799,눈길,63344700,9072,438,1086
2017-03-03,13.2773,83.33333333333334,87.43589743589745,20158799,눈길,63072100,8157,416,1034
2017-03-04,15.649970000000001,89.58333333333334,92.29166666666666,20158799,눈길,125814300,16090,450,920
2017-03-05,12.75119,74.39024390243901,88.04878048780488,20158799,눈길,123051900,15389,436,885
2017-03-06,7.336689999999999,85.48387096774194,89.03225806451613,20158799,눈길,35772700,5189,419,873
2017-03-07,6.50592,67.64705882352942,80.58823529411767,20158799,눈길,43960300,6355,422,876
2017-03-08,8.94185,71.05263157894737,84.73684210526315,20158799,눈길,22582500,3361,257,406
2017-03-09,5.55616,91.66666666666666,93.33333333333334,20158799,눈길,15690700,2414,203,302
2017-03-10,5.2047300000000005,93.75,92.5,20158799,눈길,16466300,2226,206,306
2017-03-11,9.08765,75.0,94.44444444444444,20158799,눈길,35879600,4849,205,282
2017-03-12,5.85189,84.61538461538461,83.07692307692307,20158799,눈길,35531600,4705,194,268
2017-03-13,4.19583,81.25,82.5,20158799,눈길,11248500,1689,201,287
2017-03-14,11.99262,68.18181818181817,70.9090909090909,20158799,눈길,11309000,1726,194,268
2017-03-15,2.65876,75.0,96.66666666666666,20158799,눈길,13373500,2091,196,279
2017-03-16,2.11064,100.0,95.0,20158799,눈길,1788500,290,40,46
2017-03-17,2.2928900000000003,100.0,70.0,20158799,눈길,1860000,265,38,43
2017-03-18,2.56591,66.66666666666666,100.0,20158799,눈길,4063400,571,41,45
2017-03-19,2.15053,100.0,93.33333333333334,20158799,눈길,3911500,505,40,43
2017-03-20,1.4297799999999998,100.0,96.66666666666666,20158799,눈길,2188000,324,39,47
2017-03-21,8.989310000000003,83.33333333333334,70.0,20158799,눈길,981000,151,39,46
2017-03-22,7.5492,87.5,90.0,20158799,눈길,4107000,637,41,47
2017-03-23,4.80103,50.0,56.66666666666668,20158799,눈길,1874000,317,18,19
2017-03-24,4.34094,83.33333333333334,88.33333333333334,20158799,눈길,1302500,199,22,22
2017-03-25,4.7976,83.33333333333334,86.66666666666666,20158799,눈길,1437000,222,17,17
2017-03-26,4.27698,71.42857142857143,87.14285714285714,20158799,눈길,1225500,161,17,17
2017-03-27,2.90153,100.0,98.0,20158799,눈길,782000,144,18,20
2017-03-28,2.3437799999999998,83.33333333333334,100.0,20158799,눈길,1473000,328,22,22
2017-03-29,2.21311,80.0,96.0,20158799,눈길,1518500,283,21,22
2017-03-30,1.8995,80.0,100.0,20158799,눈길,982000,173,9,9
2017-04-01,2.22549,100.0,100.0,20158799,눈길,294000,55,7,7
