period,ratio,1,2
2017-12-27,12.19931,94.44444444444444,96.29629629629632
2017-12-28,13.09442,88.63636363636364,92.42424242424242
2017-12-29,14.4207,85.1063829787234,96.80851063829786
2017-12-30,16.75554,86.17021276595744,95.53191489361697
2017-12-31,16.15985,81.57894736842105,88.94736842105263
2018-01-01,15.459529999999999,90.69767441860463,96.04651162790695
2018-01-02,11.46873,87.2340425531915,91.27659574468085
2018-01-03,8.49155,96.7741935483871,98.38709677419354
2018-01-04,7.463430000000001,88.70967741935483,93.22580645161288
2018-01-05,8.308110000000001,96.55172413793103,97.58620689655172
2018-01-06,9.99306,86.36363636363636,89.09090909090908
2018-01-07,8.359169999999999,86.76470588235294,93.82352941176472
2018-01-08,6.5324,94.28571428571428,95.14285714285714
2018-01-09,5.46772,92.1875,92.5
2018-01-10,5.76714,85.71428571428571,98.0952380952381
2018-01-11,4.5410900000000005,84.61538461538461,87.30769230769229
2018-01-12,4.75479,76.92307692307693,92.30769230769229
2018-01-13,9.752889999999999,96.42857142857144,93.92857142857142
2018-01-14,4.94074,96.96969696969695,97.57575757575758
2018-01-15,3.8527400000000003,90.47619047619048,90.47619047619048
2018-01-16,3.46633,88.23529411764706,95.88235294117649
2018-01-17,3.1019900000000002,83.33333333333334,95.0
2018-01-18,100.0,83.33333333333334,92.22222222222221
2018-01-19,4.57072,95.0,99.0
2018-01-20,4.3419,92.85714285714286,98.57142857142858
2018-01-21,3.74747,97.22222222222221,96.11111111111109
2018-01-22,3.7002,92.30769230769232,99.23076923076923
2018-01-23,3.3497199999999996,100.0,94.44444444444443
2018-01-24,2.94755,90.0,100.0
2018-01-25,2.6973,90.90909090909092,79.0909090909091
2018-01-26,2.75466,100.0,95.0
2018-01-27,3.29929,92.85714285714286,100.0
