period,ratio,1,2
2017-11-29,62.27451,71.41453831041258,84.10609037328094
2017-11-30,71.95908,73.359375,89.046875
2017-12-01,57.50277,73.15436241610739,87.09172259507831
2017-12-02,100.0,69.91758241758241,81.34615384615385
2017-12-03,66.99334,77.43105950653121,88.37445573294632
2017-12-04,54.05875,54.59459459459459,67.83783783783784
2017-12-05,48.89902,51.587301587301596,68.88888888888889
2017-12-06,56.71419,61.32075471698113,67.35849056603772
2017-12-07,44.25828,64.45783132530121,67.71084337349396
2017-12-08,40.75128,62.34567901234568,74.81481481481482
2017-12-09,54.167080000000006,56.09756097560976,72.68292682926828
2017-12-10,39.204370000000004,60.952380952380956,71.14285714285712
2017-12-11,17.431720000000002,57.14285714285714,72.67857142857142
2017-12-12,18.61332,56.52173913043478,69.34782608695653
2017-12-13,24.7934,60.810810810810814,74.05405405405406
2017-12-14,26.395740000000004,61.8421052631579,67.63157894736842
2017-12-15,16.94548,57.57575757575758,74.54545454545455
2017-12-16,18.27572,57.35294117647059,75.0
2017-12-17,13.4032,70.0,73.75
2017-12-18,10.0272,56.25,74.375
2017-12-19,8.70956,62.5,72.5
2017-12-20,10.8183,44.44444444444444,76.11111111111111
2017-12-21,7.56575,73.07692307692307,73.84615384615384
2017-12-22,8.92371,78.57142857142857,77.61904761904762
2017-12-23,9.93903,81.25,81.875
2017-12-24,10.35977,78.125,81.875
2017-12-25,6.89307,50.0,71.66666666666669
2017-12-26,1.78877,65.38461538461539,79.23076923076923
2017-12-27,1.42849,56.25,73.75
2017-12-28,2.49168,85.0,80.0
2017-12-29,3.2399400000000003,58.333333333333336,85.0
