period,ratio,1,2
2017-10-25,65.32417,73.85657820440429,88.43026538678713
2017-10-26,67.18719,74.98087222647284,88.53863810252486
2017-10-27,80.03063,73.98373983739837,87.85907859078591
2017-10-28,60.63451,76.21163166397416,88.61873990306947
2017-10-29,90.68985,79.56951305575159,90.02822865208186
2017-10-30,82.29393,77.39130434782608,88.56521739130434
2017-10-31,82.25439,75.45871559633028,88.32568807339449
2017-11-01,52.485659999999996,76.79900744416874,87.49379652605458
2017-11-02,92.57758000000001,82.21153846153845,89.375
2017-11-03,78.2368,77.05382436260622,87.36543909348441
2017-11-04,83.05,80.53435114503816,89.49618320610688
2017-11-05,99.75785,79.93464052287582,88.91503267973857
2017-11-06,68.41767,79.53296703296702,89.03846153846152
2017-11-07,61.6179,76.20967741935483,89.35483870967742
2017-11-08,100.0,80.8252427184466,89.41747572815532
2017-11-09,86.51907,76.26728110599078,89.95391705069125
2017-11-10,53.84956999999999,80.13392857142857,89.77678571428571
2017-11-11,69.59873,79.80501392757661,89.72144846796658
2017-11-12,52.83651999999999,78.07228915662651,89.32530120481927
2017-11-13,45.65625,85.5,90.7
2017-11-14,49.90116,76.45348837209302,87.20930232558139
2017-11-15,78.45423000000001,76.16279069767442,89.24418604651163
2017-11-16,42.68135,77.19298245614034,87.77777777777779
2017-11-17,44.356590000000004,79.72972972972973,87.63513513513514
2017-11-18,48.51749,75.21929824561403,90.43859649122807
2017-11-19,50.558409999999995,81.79723502304147,89.6774193548387
2017-11-20,45.59695,82.35294117647058,91.02941176470588
2017-11-21,34.10753,77.67857142857143,87.67857142857142
2017-11-22,33.30203,79.47368421052632,88.0
2017-11-23,23.81399,75.94936708860759,87.21518987341773
2017-11-24,25.49416,78.75,87.125
2017-11-25,32.7288,83.00653594771242,91.17647058823528
