,period,ratio,1,2
0,2017-11-22,100.0,67.83132530120481,81.36144578313252
1,2017-11-23,42.87689,68.54430379746836,77.82278481012656
2,2017-11-24,41.015440000000005,70.20373514431239,79.830220713073
3,2017-11-25,92.64859,73.13503305004721,81.78470254957509
4,2017-11-26,46.47081,69.27966101694916,78.0614406779661
5,2017-11-27,28.40203,72.39583333333334,82.05729166666666
6,2017-11-28,23.51127,72.4778761061947,81.27433628318585
7,2017-11-29,25.3434,72.8827361563518,81.67752442996743
8,2017-11-30,21.39731,65.74803149606299,72.33595800524935
9,2017-12-01,20.59737,64.77272727272727,70.9090909090909
10,2017-12-02,28.866740000000004,75.04091653027824,82.42225859247135
11,2017-12-03,23.750420000000002,75.71428571428571,82.63492063492063
12,2017-12-04,14.546389999999999,66.12244897959184,68.65306122448979
13,2017-12-05,12.14917,68.67469879518072,76.68674698795182
14,2017-12-06,10.655619999999999,63.74999999999999,71.8125
15,2017-12-07,10.24575,69.54887218045113,74.06015037593986
16,2017-12-08,13.13176,75.6578947368421,80.26315789473685
17,2017-12-09,20.05445,64.38356164383562,74.42922374429224
18,2017-12-10,14.714720000000002,68.53932584269663,76.59176029962549
19,2017-12-11,9.23813,68.14814814814815,75.92592592592592
20,2017-12-12,7.8068100000000005,67.47572815533981,70.58252427184466
21,2017-12-13,7.670660000000001,65.23809523809524,74.28571428571429
22,2017-12-14,6.12275,67.33333333333333,74.0
23,2017-12-15,6.3607,70.2020202020202,76.16161616161617
24,2017-12-16,8.55144,79.12087912087912,78.90109890109889
25,2017-12-17,9.04237,73.0392156862745,80.7843137254902
26,2017-12-18,5.06481,65.95744680851064,74.46808510638297
27,2017-12-19,4.52381,70.37037037037037,79.07407407407408
28,2017-12-20,3.44561,76.47058823529412,81.56862745098039
29,2017-12-21,11.11317,63.81578947368421,71.05263157894738
30,2017-12-22,18.70611,49.56140350877193,60.789473684210535
