0,1,2
20170904,5,관람객ㅎㅎ한편으로는볼만한거같네요  
20170904,9,관람객괜찬아요.8세 아이는 좀 무서워했네요. 악당나올때 무서운 배경음악때문에^^  
20170904,7,"관람객어른이 보기엔 조금 지루한감도 있지만, 아들은 한시도 눈을 떼지 않고 흥미롭게 잘 보았어요  "
20170904,10,관람객정말 너무너무너무너무너무 재밌었어요  
20170904,10,관람객재미있어요 정말 굿굿굿  
20170904,10,진짜 최근 3년부터 엄청나게 작품 퀄리티가 좋은 것 같습니다.1990년대부터 보고 있는데아 정말 도라에몽은 변치 않는 모습이 너무 아름답네요.앞으로도 쭉 내줬으면 좋겠어요.  
20170903,6,관람객재미있어요아이들과 같이보세요  
20170902,9,관람객초등학생 아들이 너무 재미있어했어요 ^^  
20170902,9,관람객아이들이 넘 재밌게 봤네요  
20170902,9,관람객여섯살부터 볼만한영화  
20170902,9,관람객6살 아들이 좋아해서 처음으로 도라에몽 영화를 보았습니다내용도 건전하고 유쾌해 좋은시간 이었습니다  
20170901,5,관람객걍 애들 시간때우기로감  
20170901,10,관람객재밌었어요~~^^ 초등학생 아들이 좋아하네요~~  
20170901,10,관람객최고에요!@@!!!  
20170901,9,관람객재밌어요.애들이 좋아해서시리즈는  빠지지않고보내요  
20170901,10,관람객딸래미와 같이 봤는데 재밌었어요~  
20170831,9,관람객재미있어요   추천해주세요  
20170831,9,관람객아이랑 재미있게 봤어요~~^^  
20170830,8,관람객5살아이랑 봤는데 볼만했어요~  
20170830,9,관람객꿀 잼이라고 하네요 딸들얘기^^  
20170830,9,관람객잼있어요. 가족들끼리 보고왔답니다  
20170830,7,관람객아들이 조금 재미없다네요  
20170830,8,관람객아이들이 좋아하더라고요 ㅎ  
20170829,7,관람객아이가 재밌어하네요~^^  
20170829,9,관람객아이들이 즐겁게 관람했습니다~  
20170829,10,관람객애들보는영화가이니야 그러니까 애들이 오는건 상관없는데요조용히좀 봅시다 애들엄마 진짜 방관쩔드라 천호롯데시네마 관리좀해요  
20170829,9,관람객아이들과 재미있게 봤어요  
20170829,10,꿀잼 완전강추 꼭보새요  
20170828,10,관람객아이와함께 봤는데 스토리는 단순하지만 애가좋아하니깐 머 ㅎㅎ  
20170828,7,관람객도라에몽은 평타이상 합니다애들이 다들 좋아해요..  
20170828,9,관람객아이가 재밌다고 합니다. 딱 애들용 만화에요.  
20170828,9,관람객다섯살아들이 도라에몽 좋아해서 보러갔는데 재밌었어요~  
20170828,8,관람객8살 아들과 즐겁게 관람했어요.  
20170828,10,관람객어릴적 도라에몽 보았던 추억이 새록새록 울아이들도 재미있어서 눈을떼지 못하더라구요. 추억소환.및 애기들즐겁게 보여준것같아서 만족합니다.  
20170827,10,관람객짱 재밌었어요♥♥추천 추천♥♥♥  
20170827,10,관람객아이랑 재미있게 봤어요~  
20170827,7,관람객9살 딸은 그럭저럭 봤는데 5살딸은 지루해했어요ㅠ저도 도라에몽 좋아하는데 이번건 그냥 뭔가 재밌지는 않았어요ㅠㅠ  
20170827,6,관람객재미있게관람했습니다.  
20170827,8,관람객이번편은 그리 재미잇지않음.  
20170827,8,관람객아이들 워낙 좋아하는 캐릭터라 즐겁게 보고 왔네요  
20170827,9,관람객애들이랑보기 괞찬아요  
20170827,10,관람객추억이새록새록 생각나네요 아이와 오랜만에 재미있게 봤습니다  
20170826,8,관람객꽤기네요. 나름 잘봤습니다  
20170826,10,관람객아이가 초1인데  재밋게 잘 보더러구요  
20170826,10,관람객OST 너무 좋았어요~ 애들이랑 잼있게 봤답니다^^  
20170826,10,관람객중간에 도라에몽 너무 감동적이었습니다  
20170826,10,관람객기대 이상이었어요. 도라에몽 팬이라면 꼭 보실 만합니다.  
20170826,10,관람객애들이 좋아해요 사람도 너무많지않고 조하요  
20170826,8,관람객잼나요~~~♡조조 보니 한가지게 엄청 쾌적하게 봤어요  
20170826,10,관람객아이들이 좋아했어요^^  
