,집계날짜,검색량,리뷰,평점,영화코드,영화명,해당일매출액,일일관람객,일일스크린수,일일상영횟수,리뷰수
0,2017-07-26,100.0,52.17305412880285,57.4032003160806,20161481,군함도,6109565800,972161,2027,10182,10124
1,2017-07-27,43.13885,42.529387502577855,42.989276139410194,20161481,군함도,4121166500,559467,1962,10219,9698
2,2017-07-28,25.71646,36.663837011884546,36.208828522920214,20161481,군함도,4811934126,582364,1989,10514,5890
3,2017-07-29,21.78295,49.367239732569246,53.27125119388731,20161481,군함도,8437357914,1016790,2020,10815,4188
4,2017-07-30,19.05516,53.17655749815317,58.57178034966758,20161481,군함도,7612135400,917669,1986,10361,4061
5,2017-07-31,14.03828,51.939416328038426,57.210934613963786,20161481,군함도,3478438000,468140,1841,9730,2707
6,2017-08-01,10.65437,54.08110882956878,59.15811088295688,20161481,군함도,2967903300,402094,1848,9518,1948
7,2017-08-02,10.30241,54.71535365152387,58.4301322599195,20161481,군함도,1826982300,248200,1109,4924,1739
8,2017-08-03,8.53365,51.44508670520232,54.85549132947977,20161481,군함도,1462878500,199203,1075,4628,1384
9,2017-08-04,6.54864,56.38859556494192,59.799366420274545,20161481,군함도,1539234185,187684,1018,4273,947
10,2017-08-05,7.4020899999999985,58.09426229508197,62.34631147540984,20161481,군함도,2245544801,270522,957,3704,976
11,2017-08-06,7.07342,53.593429158110894,59.702258726899366,20161481,군함도,1945448300,234726,922,3432,974
12,2017-08-07,5.3884,53.85135135135135,58.94594594594594,20161481,군함도,721420900,98728,876,3405,740
13,2017-08-08,4.7093,55.73770491803278,58.688524590163915,20161481,군함도,609107300,84579,857,3355,610
14,2017-08-09,3.5384599999999997,59.061135371179034,63.558951965065496,20161481,군함도,345296000,47910,632,1662,458
15,2017-08-10,4.7156400000000005,56.77966101694915,60.59322033898305,20161481,군함도,276528400,38474,569,1311,472
16,2017-08-11,2.88513,57.462686567164184,63.38308457711442,20161481,군함도,263021017,33018,538,1218,402
17,2017-08-12,3.28603,56.43712574850298,64.4311377245509,20161481,군함도,359288425,43746,501,961,334
18,2017-08-13,5.26858,56.48148148148147,60.84656084656085,20161481,군함도,315933900,38889,488,904,378
19,2017-08-14,3.16984,57.33944954128439,64.28134556574922,20161481,군함도,226473400,31555,471,900,327
20,2017-08-15,2.98339,59.65732087227414,60.62305295950154,20161481,군함도,147073500,18748,255,341,321
21,2017-08-16,2.23445,55.399061032863855,59.859154929577464,20161481,군함도,71443800,10301,258,368,213
22,2017-08-17,1.5195,50.54945054945055,57.1978021978022,20161481,군함도,51971300,7677,192,233,182
23,2017-08-18,1.4898,56.58682634730538,63.113772455089816,20161481,군함도,46838800,6143,187,225,167
24,2017-08-19,1.53739,59.593023255813954,61.6860465116279,20161481,군함도,55246300,6849,154,190,172
25,2017-08-20,5.43835,47.20812182741118,48.578680203045685,20161481,군함도,58167500,7154,148,186,197
26,2017-08-21,1.4543700000000002,56.52173913043478,61.739130434782616,20161481,군함도,37418600,5576,174,244,92
27,2017-08-22,0.94736,62.2093023255814,64.06976744186046,20161481,군함도,38597900,6131,190,248,86
28,2017-08-23,0.95292,57.28155339805825,59.90291262135923,20161481,군함도,13389500,2050,54,66,103
29,2017-08-24,1.7468,61.30952380952381,61.42857142857142,20161481,군함도,18899500,3739,71,77,84
30,2017-08-25,0.63703,68.0327868852459,71.47540983606558,20161481,군함도,11876900,1922,45,52,61
31,2017-08-26,0.64236,57.99999999999999,66.26666666666668,20161481,군함도,10385200,1499,30,39,75
