Unnamed: 0.1,Unnamed: 0.1.1,movieCd,movieNm,director,naverCd,naver_movieCd,ntz_see_score,spc_score,ntz_score
269,269,20165285,극장판 도라에몽: 신 진구의 버스 오브 재팬,야쿠와 신노스케,0,153279.0,8.68,6.0,8.85
270,270,19890291,해리가 샐리를 만났을 때,롭 라이너,0,10250.0,7.75,8.5,8.9
271,271,20161763,"나, 다니엘 블레이크",켄 로치,0,150376.0,9.28,8.4,9.25
272,272,20163014,7년-그들이 없는 언론,김진혁,0,146526.0,9.48,6.0,8.54
273,273,20161084,패신저스,모튼 틸덤,0,116233.0,8.03,5.5,7.95
274,274,20150966,사랑하기 때문에,주지홍,0,140010.0,8.39,6.0,8.03
275,275,20165153,눈의 여왕 3: 눈과 불의 마법대결,알렉세이 트시칠린,0,156675.0,8.34,0.0,8.57
276,276,20151181,여교사,김태용,0,139673.0,7.31,6.78,6.61
277,277,20164421,어쌔신 크리드,저스틴 커젤,0,118307.0,7.29,5.67,7.1
278,278,20168381,얼라이드,로버트 저메키스,0,149777.0,8.58,6.5,8.86
279,279,20168324,반지의 제왕 : 반지원정대 (확장판),피터 잭슨,0,31794.0,0.0,0.0,9.29
280,280,20168664,반지의 제왕 : 두개의 탑 (확장판),피터 잭슨,0,31795.0,0.0,0.0,9.34
281,281,20163186,단지 세상의 끝,자비에 돌란,0,137958.0,7.66,6.9,7.46
282,282,20168689,반지의 제왕 : 왕의 귀환 (확장판),피터 잭슨,0,31796.0,0.0,0.0,9.37
283,283,20168366,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,다라 오코넬,0,158266.0,8.3,0.0,8.27
