0,1,2
20181229,0.0,1.0
20181027,0.0,10.0
20181016,0.0,1.0
20181009,0.0,7.0
20181007,0.5,1.0
20180925,1.0,10.0
20180924,1.0,10.0
20180920,0.0,1.0
20180811,0.0,5.0
20180808,0.5,5.5
20180805,0.5,10.0
20180724,1.0,10.0
20180713,1.0,10.0
20180629,0.5,1.0
20180617,0.0,1.0
20180603,1.0,10.0
20180529,0.0,1.0
20180505,0.0,10.0
20180429,0.5,1.0
20180428,0.5,1.0
20180426,0.0,10.0
20180424,1.0,9.0
20180419,1.0,10.0
20180418,1.0,10.0
20180416,0.5,1.0
20180412,1.0,10.0
20180330,0.5,10.0
20180320,0.0,10.0
20180308,1.0,10.0
20180304,1.0,10.0
20180303,0.5,10.0
20180302,1.0,10.0
20180301,1.0,10.0
20180228,0.0,10.0
20180223,1.0,10.0
20180222,1.0,10.0
20180221,1.0,10.0
20180216,0.0,2.0
20180208,1.0,10.0
20180202,1.0,10.0
20180201,1.0,10.0
20180131,0.5,10.0
20180119,0.0,8.0
20180115,0.5,10.0
20180112,0.0,1.0
20180106,1.0,10.0
20180104,1.0,10.0
20171226,0.75,6.0
20171222,1.0,9.0
20171221,0.5,1.0
20171219,1.0,10.0
20171218,1.0,10.0
20171212,0.0,10.0
20171210,0.0,1.0
20171129,0.5,9.0
20171128,1.0,10.0
20171125,0.5,9.0
20171123,1.0,8.0
20171121,1.0,9.0
20171119,0.5,7.0
20171114,0.0,10.0
20171113,1.0,8.0
20171112,1.0,10.0
20171106,1.0,10.0
20171102,0.5,10.0
20171030,0.75,8.5
20171029,0.6666666666666666,6.666666666666667
20171026,0.0,1.0
20171023,0.8333333333333334,10.0
20171022,0.6666666666666666,9.666666666666666
20171021,1.0,10.0
20171020,1.0,10.0
20171019,1.0,10.0
20171018,1.0,10.0
20171017,0.5,5.5
20171016,0.75,10.0
20171015,1.0,10.0
20171014,0.5,5.0
20171013,1.0,10.0
20171012,0.5,10.0
20171011,0.5,10.0
20171009,0.3333333333333333,5.0
20171008,0.5,10.0
20171007,0.5,10.0
20171006,0.75,10.0
20171003,1.0,8.0
20171001,1.0,10.0
20170928,0.0,6.0
20170927,0.25,10.0
20170926,0.5,7.666666666666667
20170925,1.0,10.0
20170924,0.5,6.0
20170923,0.75,9.5
20170921,0.75,7.0
20170920,0.8,8.4
20170919,1.0,8.0
20170918,0.6666666666666666,7.333333333333333
20170917,0.75,8.0
20170916,0.8333333333333334,9.777777777777779
20170915,0.75,9.25
20170913,1.0,8.0
20170910,1.0,10.0
20170904,1.0,9.0
20170903,1.0,10.0
20170830,1.0,9.0
20170827,1.0,10.0
20170826,1.0,10.0
20170823,1.0,9.5
20170815,1.0,9.0
20170811,0.5,10.0
20170806,0.0,10.0
20170805,0.0,1.0
20170803,1.0,10.0
20170718,0.5,10.0
20170717,0.0,1.0
20170713,0.75,9.0
20170709,1.0,1.0
20170703,0.5,9.0
20170623,0.0,10.0
20170622,1.0,8.0
20170621,1.0,10.0
20170615,0.0,2.0
20170610,1.0,10.0
20170603,0.5,1.0
20170601,1.0,8.0
20170529,1.0,10.0
20170528,0.0,10.0
20170527,0.25,5.0
20170526,1.0,10.0
20170519,0.5,10.0
20170517,0.5,10.0
20170516,0.0,10.0
20170515,1.0,10.0
20170514,1.0,9.0
20170511,1.0,10.0
20170509,0.75,10.0
20170508,1.0,10.0
20170507,1.0,10.0
20170430,1.0,10.0
20170427,1.0,10.0
20170426,1.0,10.0
20170424,0.5,10.0
20170422,0.8333333333333334,9.333333333333334
20170421,0.8333333333333334,10.0
20170419,1.0,10.0
20170417,0.75,10.0
20170416,0.0,9.0
20170415,1.0,9.333333333333334
20170413,0.5,6.0
20170412,1.0,10.0
20170411,1.0,10.0
20170410,0.9,9.4
20170409,0.5,6.0
20170408,1.0,10.0
20170407,1.0,10.0
20170406,0.6666666666666666,10.0
20170405,0.75,8.5
20170404,0.7,10.0
20170403,0.75,9.0
20170402,0.75,9.0
20170401,0.7857142857142857,8.714285714285714
20170331,0.4166666666666667,9.833333333333334
20170330,0.75,9.666666666666666
20170329,0.8076923076923077,9.307692307692308
20170328,0.9166666666666666,9.666666666666666
20170327,0.875,9.875
20170326,0.7647058823529411,9.470588235294118
20170325,0.5,9.0
20170324,0.5,9.375
20170323,0.9230769230769231,8.461538461538462
20170322,0.7352941176470589,9.0
20170321,0.7222222222222222,9.11111111111111
20170320,0.6428571428571429,9.571428571428571
20170319,0.75,9.5
20170318,0.7884615384615384,8.961538461538462
20170317,0.8157894736842105,8.31578947368421
20170316,0.7058823529411765,8.352941176470589
20170315,0.75,8.916666666666666
20170314,0.5714285714285714,9.142857142857142
20170313,0.85,8.7
20170312,0.7804878048780488,8.975609756097562
20170311,0.7714285714285715,9.285714285714286
20170310,0.8095238095238095,9.333333333333334
20170309,0.7666666666666667,9.166666666666666
20170308,0.6956521739130435,8.478260869565217
20170307,0.6896551724137931,8.758620689655173
20170306,0.7407407407407407,8.185185185185185
20170305,0.7866666666666666,9.24
20170304,0.759493670886076,8.987341772151899
20170303,0.7916666666666666,9.0
20170302,0.7129629629629629,9.444444444444445
20170301,0.7217391304347827,8.678260869565218
20170228,0.7323232323232324,8.919191919191919
20170227,0.7366412213740458,8.938931297709924
20170226,0.7672413793103449,8.954022988505747
20170225,0.7774869109947644,9.036649214659686
20170224,0.7342995169082126,9.028985507246377
20170223,0.7553846153846154,9.2
