0,1,2
20190111,1.0,8.5
20190110,0.5833333333333334,6.333333333333333
20181215,0.5,8.0
20181214,1.0,10.0
20181211,0.0,6.0
20181204,0.0,3.0
20181129,0.5,1.0
20181121,0.5,6.0
20181108,0.0,7.0
20181101,0.0,2.0
20181024,0.0,4.0
20181013,0.5,7.0
20180925,0.0,8.0
20180916,0.0,1.0
20180907,0.0,10.0
20180904,1.0,8.0
20180831,1.0,8.0
20180827,1.0,10.0
20180820,0.5,6.0
20180819,0.0,5.0
20180818,0.0,6.0
20180802,1.0,10.0
20180730,1.0,10.0
20180714,1.0,10.0
20180711,0.0,5.0
20180629,1.0,10.0
20180626,1.0,9.0
20180610,1.0,10.0
20180607,1.0,8.0
20180527,0.5,8.0
20180523,1.0,10.0
20180522,1.0,9.0
20180511,0.0,7.0
20180509,1.0,10.0
20180507,0.5,5.0
20180503,0.75,8.5
20180502,0.5,8.5
20180501,1.0,8.0
20180430,1.0,9.0
20180428,1.0,9.0
20180427,1.0,10.0
20180319,1.0,10.0
20180311,0.0,10.0
20180227,0.0,6.0
20180223,0.0,3.0
20180222,0.5,4.0
20180217,0.0,10.0
20180209,0.0,10.0
20180204,1.0,10.0
20180202,0.5,6.0
20180130,0.5,10.0
20180129,0.5,10.0
20180128,0.75,4.5
20180121,1.0,8.0
20180120,0.0,1.0
20180109,0.8333333333333334,8.0
20180108,0.5,8.0
20180106,0.25,8.5
20180102,0.6666666666666666,4.333333333333333
20180101,0.75,8.0
20171231,0.0,6.0
20171230,0.5,5.0
20171227,1.0,8.0
20171226,1.0,10.0
20171225,0.75,8.5
20171224,0.0,1.0
20171223,0.625,8.0
20171222,0.0,1.0
20171221,0.6666666666666666,6.666666666666667
20171220,0.6666666666666666,8.333333333333334
20171218,1.0,10.0
20171217,0.25,2.5
20171216,0.16666666666666666,2.6666666666666665
20171214,0.0,7.0
20171213,0.5,5.5
20171210,0.75,4.0
20171209,0.6666666666666666,5.666666666666667
20171208,0.0,1.0
20171207,0.5,7.0
20171206,0.25,3.0
20171205,0.6666666666666666,5.333333333333333
20171204,0.75,9.0
20171202,0.5,7.0
20171201,0.0,2.0
20171130,0.875,9.5
20171129,0.75,9.25
20171128,0.6111111111111112,6.333333333333333
20171127,0.5,6.285714285714286
20171126,0.5,7.285714285714286
20171125,0.4444444444444444,6.222222222222222
20171124,0.7142857142857143,6.571428571428571
20171123,0.5,7.666666666666667
20171122,0.625,8.225
